start-1,0,0,400,150
start-2,400,0,400,150
start-3,800,0,400,150
start-4,1200,0,400,150
start-5,1600,0,400,150
start-6,0,150,400,150
start-7,400,150,400,150
start-8,800,150,400,150
start-9,1200,150,400,150
start-10,1600,150,400,150
start-11,0,300,400,150
start-12,400,300,400,150
start-13,800,300,400,150
start-14,1200,300,400,150
start-15,1600,300,400,150
start-16,0,450,400,150
start-17,400,450,400,150
start-18,800,450,400,150
start-19,1200,450,400,150
start-20,1600,450,400,150
start-21,0,600,400,150
start-22,400,600,400,150
start-23,800,600,400,150
start-24,1200,600,400,150
start-25,1600,600,400,150
start-26,0,750,400,150
start-27,400,750,400,150
start-28,800,750,400,150
