idle1,0,0,40,48
idle2,40,0,40,48
idle3,80,0,40,48
idle4,120,0,40,48
idle5,160,0,40,48
idle6,200,0,40,48
run1,0,48,40,48
run2,40,48,40,48
run3,80,48,40,48
run4,120,48,40,48
run5,160,48,40,48
run6,200,48,40,48
run7,240,48,40,48
run8,280,48,40,48
jump1,0,96,40,48
jump2,40,96,40,48
jump3,80,96,40,48
jump4,120,96,40,48
jump5,160,96,40,48
jump6,200,96,40,48
jump7,240,96,40,48
jump8,280,96,40,48
jump9,320,96,40,48
hit1,0,144,52,48
hit2,52,144,52,48
hit3,104,144,52,48
hit4,156,144,52,48
hit5,208,144,52,48
hit6,260,144,52,48
hit7,312,144,52,48
hit8,364,144,52,48
airHit1,0,192,48,52
airHit2,48,192,48,52
airHit3,96,192,48,52
airHit4,144,192,48,52
airHit5,192,192,48,52
airHit6,240,192,48,52




