boom-1,0,0,100,106
boom-2,100,0,100,106
boom-3,200,0,100,106
boom-4,300,0,100,106
boom-5,400,0,100,106
boom-6,500,0,100,106
boom-7,600,0,100,106
boom-8,700,0,100,106
boom-9,800,0,100,106
boom-10,900,0,100,106
boom-11,1000,0,100,106
boom-12,1100,0,100,106
boom-13,0,106,100,106
boom-14,100,106,100,106
boom-15,200,106,100,106
boom-16,300,106,100,106
boom-17,400,106,100,106
boom-18,500,106,100,106
boom-19,600,106,100,106
boom-20,700,106,100,106
boom-21,800,600,106,106
boom-22,900,106,100,106
boom-23,1000,106,100,106
boom-24,1100,106,100,106
